SYMBOL,ComplexID,ComplexName,Organism,subunits(Entrez.IDs),subunits(Gene.name),subunits(Gene.name.syn),GO.description,FunCat.description
PSMA7,181,26S proteasome,Human,5688;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5691;5690;5710;5687;5700;5705;5706;5695;5719,PSMA7;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMB3;PSMB2;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSMB7;PSMD13,HSPC;TBP1;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;MSS1;MIP224 TBP7;None;None;MCB1;PROS27;None;SUG1;SUG2;Z;None,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;response to stress;cytoplasm;nucleus,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;stress response;cytoplasm;nucleus
PSMA7,192,PA28-20S proteasome,Human,5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;5720;5695;5721,PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME1;PSMB7;PSME2,HSPC;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;None;None;PROS27;IFI5111;Z;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMA7,193,PA700-20S-PA28 complex,Human,5717;5718;5715;10213;5688;5709;5716;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5714;5691;5690;5713;5710;5687;5700;5705;5706;5720;5708;9861;5711;5695;5707;5721;5719,PSMD11;PSMD12;PSMD9;PSMD14;PSMA7;PSMD3;PSMD10;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMD8;PSMB3;PSMB2;PSMD7;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSME1;PSMD2;PSMD6;PSMD5;PSMB7;PSMD1;PSME2;PSMD13,None;None;None;POH1;HSPC;None;None;TBP1;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;MSS1;MIP224 TBP7;p31;None;None;MOV34L;MCB1;PROS27;None;SUG1;SUG2;IFI5111;TRAP2;KIAA0107 PFAAP4;KIAA0072;Z;None;None;None,proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator
PSMA7,194,PA28gamma-20S proteasome,Human,5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;10197;5695,PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME3;PSMB7,HSPC;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;None;None;PROS27;None;Z,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMA7,8522,Thymoproteasome,Mouse,19171;19167;16912;19166;19177;19172;19175;73902;26443;26441;26446;26440;26444;26442,Psmb10;Psma3;Psmb9;Psma2;Psmb7;Psmb4;Psmb6;Psmb11;Psma6;Psma4;Psmb3;Psma1;Psma7;Psma5,Lmp10 Mecl1;None;Lmp2 Ring12;Lmpc3;Mmc14;Lmp3;Lmp19;None;None;None;None;None;None;None,proteasome complex;T cell differentiation in thymus,None
PSMA7,8532,Spermatoproteasome,Rabbit,100328673;100352563;None;100351783;None;None;None;None;None;100338247;None;16912;19166;103554;26444,PSMB4;PSMA1;PSMB8;PSMB3;PSMB10;PSMA8;PSMB7;PSMA3;PSMB6;PSMA5;PSMA6;Psmb9;Psma2;Psme4;Psma7,None;None;None;None;None;None;None;None;None;None;None;Lmp2 Ring12;Lmpc3;Kiaa0077;None,spermatoproteasome complex;proteasomal ubiquitin-independent protein catabolic process;spermatogenesis;regulation of double-strand break repair,None
PSMA8,8532,Spermatoproteasome,Rabbit,100328673;100352563;None;100351783;None;None;None;None;None;100338247;None;16912;19166;103554;26444,PSMB4;PSMA1;PSMB8;PSMB3;PSMB10;PSMA8;PSMB7;PSMA3;PSMB6;PSMA5;PSMA6;Psmb9;Psma2;Psme4;Psma7,None;None;None;None;None;None;None;None;None;None;None;Lmp2 Ring12;Lmpc3;Kiaa0077;None,spermatoproteasome complex;proteasomal ubiquitin-independent protein catabolic process;spermatogenesis;regulation of double-strand break repair,None
PSMB1,38,20S proteasome,Mouse,19170;19173;19167;19166;19177;19172;19175;26443;26441;26446;26445;26440;26444;26442,Psmb1;Psmb5;Psma3;Psma2;Psmb7;Psmb4;Psmb6;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5,None;;None;Lmpc3;Mmc14;Lmp3;Lmp19;None;None;None;None;None;None;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMB1,39,Immunoproteasome,Mouse,19170;19171;19167;16913;16912;19166;19172;26443;26441;26446;26445;26440;26444;26442,Psmb1;Psmb10;Psma3;Psmb8;Psmb9;Psma2;Psmb4;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5,None;Lmp10 Mecl1;None;Lmp7 Mc13;Lmp2 Ring12;Lmpc3;Lmp3;None;None;None;None;None;None;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;antigen processing and presentation;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;antigen presentation / processing;cytoplasm;nucleus
PSMB1,181,26S proteasome,Human,5688;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5691;5690;5710;5687;5700;5705;5706;5695;5719,PSMA7;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMB3;PSMB2;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSMB7;PSMD13,HSPC;TBP1;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;MSS1;MIP224 TBP7;None;None;MCB1;PROS27;None;SUG1;SUG2;Z;None,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;response to stress;cytoplasm;nucleus,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;stress response;cytoplasm;nucleus
PSMB1,192,PA28-20S proteasome,Human,5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;5720;5695;5721,PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME1;PSMB7;PSME2,HSPC;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;None;None;PROS27;IFI5111;Z;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMB1,193,PA700-20S-PA28 complex,Human,5717;5718;5715;10213;5688;5709;5716;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5714;5691;5690;5713;5710;5687;5700;5705;5706;5720;5708;9861;5711;5695;5707;5721;5719,PSMD11;PSMD12;PSMD9;PSMD14;PSMA7;PSMD3;PSMD10;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMD8;PSMB3;PSMB2;PSMD7;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSME1;PSMD2;PSMD6;PSMD5;PSMB7;PSMD1;PSME2;PSMD13,None;None;None;POH1;HSPC;None;None;TBP1;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;MSS1;MIP224 TBP7;p31;None;None;MOV34L;MCB1;PROS27;None;SUG1;SUG2;IFI5111;TRAP2;KIAA0107 PFAAP4;KIAA0072;Z;None;None;None,proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator
PSMB1,194,PA28gamma-20S proteasome,Human,5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;10197;5695,PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME3;PSMB7,HSPC;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;None;None;PROS27;None;Z,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMB10,39,Immunoproteasome,Mouse,19170;19171;19167;16913;16912;19166;19172;26443;26441;26446;26445;26440;26444;26442,Psmb1;Psmb10;Psma3;Psmb8;Psmb9;Psma2;Psmb4;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5,None;Lmp10 Mecl1;None;Lmp7 Mc13;Lmp2 Ring12;Lmpc3;Lmp3;None;None;None;None;None;None;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;antigen processing and presentation;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;antigen presentation / processing;cytoplasm;nucleus
PSMB10,8522,Thymoproteasome,Mouse,19171;19167;16912;19166;19177;19172;19175;73902;26443;26441;26446;26440;26444;26442,Psmb10;Psma3;Psmb9;Psma2;Psmb7;Psmb4;Psmb6;Psmb11;Psma6;Psma4;Psmb3;Psma1;Psma7;Psma5,Lmp10 Mecl1;None;Lmp2 Ring12;Lmpc3;Mmc14;Lmp3;Lmp19;None;None;None;None;None;None;None,proteasome complex;T cell differentiation in thymus,None
PSMB10,8532,Spermatoproteasome,Rabbit,100328673;100352563;None;100351783;None;None;None;None;None;100338247;None;16912;19166;103554;26444,PSMB4;PSMA1;PSMB8;PSMB3;PSMB10;PSMA8;PSMB7;PSMA3;PSMB6;PSMA5;PSMA6;Psmb9;Psma2;Psme4;Psma7,None;None;None;None;None;None;None;None;None;None;None;Lmp2 Ring12;Lmpc3;Kiaa0077;None,spermatoproteasome complex;proteasomal ubiquitin-independent protein catabolic process;spermatogenesis;regulation of double-strand break repair,None
PSMB11,8522,Thymoproteasome,Mouse,19171;19167;16912;19166;19177;19172;19175;73902;26443;26441;26446;26440;26444;26442,Psmb10;Psma3;Psmb9;Psma2;Psmb7;Psmb4;Psmb6;Psmb11;Psma6;Psma4;Psmb3;Psma1;Psma7;Psma5,Lmp10 Mecl1;None;Lmp2 Ring12;Lmpc3;Mmc14;Lmp3;Lmp19;None;None;None;None;None;None;None,proteasome complex;T cell differentiation in thymus,None
PSMB2,38,20S proteasome,Mouse,19170;19173;19167;19166;19177;19172;19175;26443;26441;26446;26445;26440;26444;26442,Psmb1;Psmb5;Psma3;Psma2;Psmb7;Psmb4;Psmb6;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5,None;;None;Lmpc3;Mmc14;Lmp3;Lmp19;None;None;None;None;None;None;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMB2,39,Immunoproteasome,Mouse,19170;19171;19167;16913;16912;19166;19172;26443;26441;26446;26445;26440;26444;26442,Psmb1;Psmb10;Psma3;Psmb8;Psmb9;Psma2;Psmb4;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5,None;Lmp10 Mecl1;None;Lmp7 Mc13;Lmp2 Ring12;Lmpc3;Lmp3;None;None;None;None;None;None;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;antigen processing and presentation;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;antigen presentation / processing;cytoplasm;nucleus
PSMB2,181,26S proteasome,Human,5688;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5691;5690;5710;5687;5700;5705;5706;5695;5719,PSMA7;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMB3;PSMB2;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSMB7;PSMD13,HSPC;TBP1;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;MSS1;MIP224 TBP7;None;None;MCB1;PROS27;None;SUG1;SUG2;Z;None,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;response to stress;cytoplasm;nucleus,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;stress response;cytoplasm;nucleus
PSMB2,192,PA28-20S proteasome,Human,5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;5720;5695;5721,PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME1;PSMB7;PSME2,HSPC;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;None;None;PROS27;IFI5111;Z;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMB2,193,PA700-20S-PA28 complex,Human,5717;5718;5715;10213;5688;5709;5716;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5714;5691;5690;5713;5710;5687;5700;5705;5706;5720;5708;9861;5711;5695;5707;5721;5719,PSMD11;PSMD12;PSMD9;PSMD14;PSMA7;PSMD3;PSMD10;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMD8;PSMB3;PSMB2;PSMD7;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSME1;PSMD2;PSMD6;PSMD5;PSMB7;PSMD1;PSME2;PSMD13,None;None;None;POH1;HSPC;None;None;TBP1;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;MSS1;MIP224 TBP7;p31;None;None;MOV34L;MCB1;PROS27;None;SUG1;SUG2;IFI5111;TRAP2;KIAA0107 PFAAP4;KIAA0072;Z;None;None;None,proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator
PSMB2,194,PA28gamma-20S proteasome,Human,5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;10197;5695,PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME3;PSMB7,HSPC;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;None;None;PROS27;None;Z,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMB3,38,20S proteasome,Mouse,19170;19173;19167;19166;19177;19172;19175;26443;26441;26446;26445;26440;26444;26442,Psmb1;Psmb5;Psma3;Psma2;Psmb7;Psmb4;Psmb6;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5,None;;None;Lmpc3;Mmc14;Lmp3;Lmp19;None;None;None;None;None;None;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMB3,39,Immunoproteasome,Mouse,19170;19171;19167;16913;16912;19166;19172;26443;26441;26446;26445;26440;26444;26442,Psmb1;Psmb10;Psma3;Psmb8;Psmb9;Psma2;Psmb4;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5,None;Lmp10 Mecl1;None;Lmp7 Mc13;Lmp2 Ring12;Lmpc3;Lmp3;None;None;None;None;None;None;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;antigen processing and presentation;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;antigen presentation / processing;cytoplasm;nucleus
PSMB3,181,26S proteasome,Human,5688;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5691;5690;5710;5687;5700;5705;5706;5695;5719,PSMA7;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMB3;PSMB2;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSMB7;PSMD13,HSPC;TBP1;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;MSS1;MIP224 TBP7;None;None;MCB1;PROS27;None;SUG1;SUG2;Z;None,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;response to stress;cytoplasm;nucleus,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;stress response;cytoplasm;nucleus
PSMB3,192,PA28-20S proteasome,Human,5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;5720;5695;5721,PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME1;PSMB7;PSME2,HSPC;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;None;None;PROS27;IFI5111;Z;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMB3,193,PA700-20S-PA28 complex,Human,5717;5718;5715;10213;5688;5709;5716;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5714;5691;5690;5713;5710;5687;5700;5705;5706;5720;5708;9861;5711;5695;5707;5721;5719,PSMD11;PSMD12;PSMD9;PSMD14;PSMA7;PSMD3;PSMD10;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMD8;PSMB3;PSMB2;PSMD7;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSME1;PSMD2;PSMD6;PSMD5;PSMB7;PSMD1;PSME2;PSMD13,None;None;None;POH1;HSPC;None;None;TBP1;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;MSS1;MIP224 TBP7;p31;None;None;MOV34L;MCB1;PROS27;None;SUG1;SUG2;IFI5111;TRAP2;KIAA0107 PFAAP4;KIAA0072;Z;None;None;None,proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator
PSMB3,194,PA28gamma-20S proteasome,Human,5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;10197;5695,PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME3;PSMB7,HSPC;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;None;None;PROS27;None;Z,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMB3,8522,Thymoproteasome,Mouse,19171;19167;16912;19166;19177;19172;19175;73902;26443;26441;26446;26440;26444;26442,Psmb10;Psma3;Psmb9;Psma2;Psmb7;Psmb4;Psmb6;Psmb11;Psma6;Psma4;Psmb3;Psma1;Psma7;Psma5,Lmp10 Mecl1;None;Lmp2 Ring12;Lmpc3;Mmc14;Lmp3;Lmp19;None;None;None;None;None;None;None,proteasome complex;T cell differentiation in thymus,None
PSMB3,8532,Spermatoproteasome,Rabbit,100328673;100352563;None;100351783;None;None;None;None;None;100338247;None;16912;19166;103554;26444,PSMB4;PSMA1;PSMB8;PSMB3;PSMB10;PSMA8;PSMB7;PSMA3;PSMB6;PSMA5;PSMA6;Psmb9;Psma2;Psme4;Psma7,None;None;None;None;None;None;None;None;None;None;None;Lmp2 Ring12;Lmpc3;Kiaa0077;None,spermatoproteasome complex;proteasomal ubiquitin-independent protein catabolic process;spermatogenesis;regulation of double-strand break repair,None
PSMB4,38,20S proteasome,Mouse,19170;19173;19167;19166;19177;19172;19175;26443;26441;26446;26445;26440;26444;26442,Psmb1;Psmb5;Psma3;Psma2;Psmb7;Psmb4;Psmb6;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5,None;;None;Lmpc3;Mmc14;Lmp3;Lmp19;None;None;None;None;None;None;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMB4,39,Immunoproteasome,Mouse,19170;19171;19167;16913;16912;19166;19172;26443;26441;26446;26445;26440;26444;26442,Psmb1;Psmb10;Psma3;Psmb8;Psmb9;Psma2;Psmb4;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5,None;Lmp10 Mecl1;None;Lmp7 Mc13;Lmp2 Ring12;Lmpc3;Lmp3;None;None;None;None;None;None;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;antigen processing and presentation;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;antigen presentation / processing;cytoplasm;nucleus
PSMB4,181,26S proteasome,Human,5688;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5691;5690;5710;5687;5700;5705;5706;5695;5719,PSMA7;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMB3;PSMB2;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSMB7;PSMD13,HSPC;TBP1;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;MSS1;MIP224 TBP7;None;None;MCB1;PROS27;None;SUG1;SUG2;Z;None,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;response to stress;cytoplasm;nucleus,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;stress response;cytoplasm;nucleus
PSMB4,192,PA28-20S proteasome,Human,5688;5689;5682;5683;5684;5685;5686;5692;5694;5693;5691;5690;5687;5720;5695;5721,PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME1;PSMB7;PSME2,HSPC;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;None;None;PROS27;IFI5111;Z;None,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus
PSMB4,193,PA700-20S-PA28 complex,Human,5717;5718;5715;10213;5688;5709;5716;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5714;5691;5690;5713;5710;5687;5700;5705;5706;5720;5708;9861;5711;5695;5707;5721;5719,PSMD11;PSMD12;PSMD9;PSMD14;PSMA7;PSMD3;PSMD10;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMD8;PSMB3;PSMB2;PSMD7;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSME1;PSMD2;PSMD6;PSMD5;PSMB7;PSMD1;PSME2;PSMD13,None;None;None;POH1;HSPC;None;None;TBP1;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;None;PROS26;LMPY Y;LMPX MB1 X;MSS1;MIP224 TBP7;p31;None;None;MOV34L;MCB1;PROS27;None;SUG1;SUG2;IFI5111;TRAP2;KIAA0107 PFAAP4;KIAA0072;Z;None;None;None,proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity,proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator
