ComplexName,subunits(Entrez IDs),GO ID,GO description,FunCat ID,FunCat description,Complex comment,subunits(Gene name)
HSP70-BAG5-PARK2 complex,5071;3303;3308;9529,GO:0050821;GO:0006457;GO:0030234;GO:0050790,protein stabilization;protein folding;enzyme regulator activity;regulation of catalytic activity,14.01;18.02.01,protein folding and stabilization;enzymatic activity regulation / enzyme regulator,"The authors show that within this complex, BAG5 inhibits both parkin E3 ubiquitin ligase activity and Hsp70-mediated refolding of misfolded proteins.",PRKN;HSPA1A;HSPA4;BAG5
ILK-PARVB-ARHGEF6 complex,3611;9459;29780,GO:0007264;GO:0030036,small GTPase mediated signal transduction;actin cytoskeleton organization,30.01.05.05.01;42.04.03,small GTPase mediated signal transduction;actin cytoskeleton,"The results suggest that activation of alpha-PIX is dependent on ILK binding to beta-parvin, an event that depends upon ILK activity.",ILK;ARHGEF6;PARVB
PARVB-ARHGEF6 complex,9459;29780,GO:0030036,actin cytoskeleton organization,42.04.03,actin cytoskeleton,The complex between beta-parvin and alpha-PIX is constitutively formed and is not regulated by either the presence or absence of ILK or its kinase activity. This suggests that ILK may modulate the activity of alpha-PIX indirectly through its binding to and phosphorylation of beta-parvin.,ARHGEF6;PARVB
BCL2 -CALM1-FKBP38 complex,801;596;23770,GO:0005509;GO:0030234;GO:0050790;GO:0043067;GO:0006915,calcium ion binding;enzyme regulator activity;regulation of catalytic activity;regulation of programmed cell death;apoptotic process,16.17.01;18.02.01;40.10.02.04;40.10.02,calcium binding;enzymatic activity regulation / enzyme regulator;regulation of apoptosis;apoptosis (type I programmed cell death),Association between Bcl-2 and the active site of Ca2+/calmodulin/FKBP38 regulates Bcl-2 function and thereby participates in the promotion of apoptosis in neuronal tissues.,CALM1;BCL2;FKBP8
CDK1-CCNB1-CCNF complex,983;891;899,GO:0007049,cell cycle,2022-03-10 00:00:00,cell cycle,"Cdc2, cyclin B1 and cyclin F form  a complex that exhibits histone  H1 kinase activity.",CDK1;CCNB1;CCNF
Hsp110-Hsc70-Hsp25 complex,None;15481;15505,GO:0050821;GO:0006457,protein stabilization;protein folding,2022-01-14 00:00:00,protein folding and stabilization,Mutational analysis indicate that Hsp25 and Hsp70 can interact with Hsp110 at different sites and that the association of Hsp110 with Hsp25 requires the peptide-binding domain of Hsp110.,Hspb1;Hspa8;Hsph1
HSP90-CIP1-FKBPL complex,3320;1026;63943,GO:0050821;GO:0006457;GO:0006974,protein stabilization;protein folding;cellular response to DNA damage stimulus,14.01;32.01.09,protein folding and stabilization;DNA damage response,The results show that the ability of WISp39 to stabilize p21 is dependent on its ability to bind and recruit Hsp90.,HSP90AA1;CDKN1A;FKBPL
"Ask1-Traf6 complex, LPS induced",26408;22034,GO:0006955,immune response,36.25.16,immune response,"ASK1 formed a complex with TRAF6 in response to LPS (lipopolysaccharide), and this complex formation and subsequent ASK1 activation required LPS-induced production of reactive oxygen species (ROS).",Map3k5;Traf6
"Membrane protein complex (DERL1, NPLOC4, UFD1L, VCP, VIMP)",7415;55666;7353;55829;79139,GO:0030970,"retrograde protein transport, ER to cytosol",,,,VCP;NPLOC4;UFD1;SELENOS;DERL1
Blnk-Btk-Cmtm3-Mapk1 complex,12229;26413;68119;17060,GO:0007166;GO:0005783;GO:0005737;GO:0031965,cell surface receptor signaling pathway;endoplasmic reticulum;cytoplasm;nuclear membrane,30.05;70.07;70.03,transmembrane signal transduction;endoplasmic reticulum;cytoplasm,"BNAS2 was co-precipitated with BASH as well as Btk and ERK2. It may serve as a scaffold for signaling proteins such as BASH, Btk, and ERK at the ER and nuclear membrane and may facilitate ERK activation by signaling from cell-surface receptors.",Btk;Mapk1;Cmtm3;Blnk
Abl1-Dok1-Nck1 complex,11350;13448;17973,GO:0030036;GO:0001649,actin cytoskeleton organization;osteoblast differentiation,42.04.03;43.03.17,"actin cytoskeleton;structural cell of tissue (fibroblast, osteoblast, etc.)","A signaling complex containing Abl, Dok1, and Nck may form in cells, and its formation is dependent on Abl activity and phosphorylation of Y361 of Dok1. Data suggest that c-Abl transduces signals to actin at the cell periphery by phosphorylating Y361 of Dok1 and recruiting Nck.",Abl1;Dok1;Nck1
"NOS3-HSP90 complex, VEGF induced",3320;4846,GO:0006809;GO:0006808;GO:0051171;GO:0007263;GO:0007169;GO:0001525;GO:0035924,nitric oxide biosynthetic process;regulation of nitrogen utilization;regulation of nitrogen compound metabolic process;nitric oxide mediated signal transduction;transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis;cellular response to vascular endothelial growth factor stimulus,01.02.02.07;01.02.07.01;30.01.09.01;30.05.01.12;41.05.16,nitric oxide biosynthesis;regulation of nitrogen metabolism;NO mediated signal transduction;transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis,VEGF stimulation promotes dissociation of eNOS and Caveolin and association of eNOS with HSP90.,HSP90AA1;NOS3
"NOS3-HSP90-AKT complex, VEGF induced",3320;4846;207,GO:0006809;GO:0006808;GO:0051171;GO:0007263;GO:0007169;GO:0001525;GO:0035924,nitric oxide biosynthetic process;regulation of nitrogen utilization;regulation of nitrogen compound metabolic process;nitric oxide mediated signal transduction;transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis;cellular response to vascular endothelial growth factor stimulus,01.02.02.07;01.02.07.01;30.01.09.01;30.05.01.12;41.05.16,nitric oxide biosynthesis;regulation of nitrogen metabolism;NO mediated signal transduction;transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis,VEGF stimulation promotes association of eNOS with HSP90 and AKT.,HSP90AA1;NOS3;AKT1
Cdkn2a-Mdm2-Rpl11-Tp53 complex,22059;17246;12578;67025,GO:0007049;GO:0016049;GO:0008219;GO:0006915;GO:0008283,cell cycle;cell growth;cell death;apoptotic process;cell population proliferation,10.03;40.01;40.10;40.10.02,cell cycle;cell growth / morphogenesis;cell death;apoptosis (type I programmed cell death),"The interaction of MDM2 with p53, p19ARF, and L11 is altered in TIF-IA-/- mouse embryonic fibroblasts.",Tp53;Mdm2;Cdkn2a;Rpl11
"Multicomponent signaling complex, anti-CD40 stimulated (Birc2, Birc3, Cd40, Ikbkg, Map2k4, Map2k7, Map3k1, Traf2, Ube2n)",11796;16151;21939;22030;26398;26401;93765;11797;26400,GO:0000165;GO:0019724;GO:0030183,MAPK cascade;B cell mediated immunity;B cell differentiation,30.01.05.01.03;36.25.16.03.01;43.03.07.02.01.01,MAPKKK cascade;humoral response (B-cells);B-cell,"With anti-CD40 as the immunoprecipitating antibody the complex included trace amounts of the MEKK1 substrates MKK4 and MKK7, furthermore it was shown that the amounts of most complex components declined between 10 and 30 min after stimulation. The results indicate that MAPK signaling, at least by CD40 and other TNFRs, follows a two-stage mechanism based on assembly of a multiprotein complex at the receptor that primes MAP3Ks for activation, but in which kinase activation is delayed until the complex is released to the cytoplasm.",Birc3;Ikbkg;Cd40;Traf2;Map2k4;Map3k1;Ube2n;Birc2;Map2k7
"Multicomponent signaling complex, anti-CD40 stimulated,(Birc2, Birc3, Cd40, Ikbkg, Map3k1, Traf2, Ube2n)",11796;16151;21939;22030;26401;93765;11797,GO:0000165;GO:0019724;GO:0030183,MAPK cascade;B cell mediated immunity;B cell differentiation,30.01.05.01.03;36.25.16.03.01;43.03.07.02.01.01,MAPKKK cascade;humoral response (B-cells);B-cell,"With anti-MEKK1 as the immunoprecipitating antibody  it was shown that the apparent dissociation of the complex was not seen like in the anti-CD40 immunoprecipitated complexes,  where the amounts of most complex components declined between 10 and 30 min after stimulation. The results indicate that MAPK signaling, at least by CD40 and other TNFRs, follows a two-stage mechanism based on assembly of a multiprotein complex at the receptor that primes MAP3Ks for activation, but in which kinase activation is delayed until the complex is released to the cytoplasm.",Birc3;Ikbkg;Cd40;Traf2;Map3k1;Ube2n;Birc2
"Membrane-associated multicomponent signaling complex, anti-CD40 stimulated (Cd40, Ikbkg, Map3k1, Traf2, Ube2n)",16151;21939;22030;26401;93765,GO:0000165;GO:0019724;GO:0030183;GO:0005886,MAPK cascade;B cell mediated immunity;B cell differentiation;plasma membrane,30.01.05.01.03;36.25.16.03.01;43.03.07.02.01.01;70.02,MAPKKK cascade;humoral response (B-cells);B-cell;eukaryotic plasma membrane / membrane attached,"The complex isolated with either CD40, IKK-gamma, or MEKK1-specific antibodies was present in the membrane-containing fraction at 10 min after stimulation but was barely detected after 30 min.",Ikbkg;Cd40;Traf2;Map3k1;Ube2n
"Cytosolic multicomponent signaling complex, anti-CD40 stimulated, (Ikbkg, Map3k1, Traf2, Ube2n)",16151;22030;26401;93765,GO:0000165;GO:0019724;GO:0030183;GO:0005737,MAPK cascade;B cell mediated immunity;B cell differentiation;cytoplasm,30.01.05.01.03;36.25.16.03.01;43.03.07.02.01.01;70.03,MAPKKK cascade;humoral response (B-cells);B-cell;cytoplasm,"This complex containing TRAF2, MEKK1, IKK-gamma, and Ubc13, but not CD40, was detected in the soluble cytosol fraction within 10 min, and most of its components were relatively stably associated for up to 60 min after CD40 engagement.",Ikbkg;Traf2;Map3k1;Ube2n
"CRMP-MICAL-PlexinA1 complex, induced by SEMA3A",1400;64780;5361,GO:0023052;GO:0007399;GO:0031175,signaling;nervous system development;neuron projection development,30.01;47.03.01,cellular signalling;nervous system,MIDCAL1 forms a SEMA3A-modulated complex with CRMP and PlexA proteins.,CRMP1;MICAL1;PLXNA1
Keap1-Nrf2-Cul3 complex,18024;26554;50868,GO:0043161;GO:0006511;GO:0000302;GO:0006979;GO:0005737,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to reactive oxygen species;response to oxidative stress;cytoplasm,14.13.01.01;32.01.01;70.03,proteasomal degradation (ubiquitin/proteasomal pathway);oxidative stress response;cytoplasm,The authors propose that Cul3 regulates the Nrf2 turnover through forming the Keap1-Nrf2-Cul3 complex.,Nfe2l2;Cul3;Keap1
p53-BCL2 complex,7157;596,GO:0006915;GO:0005739,apoptotic process;mitochondrion,40.10.02;70.16,apoptosis (type I programmed cell death);mitochondrion,,TP53;BCL2
p53-BCL2 complex,7157;598,GO:0006915;GO:0005739,apoptotic process;mitochondrion,40.10.02;70.16,apoptosis (type I programmed cell death);mitochondrion,,TP53;BCL2L1
tBID-BAK1 complex,12018;12122,GO:0006915;GO:0005739,apoptotic process;mitochondrion,40.10.02;70.16,apoptosis (type I programmed cell death);mitochondrion,,Bak1;Bid
Tp53-BAK1 complex,12018;22059,GO:0006915;GO:0005739,apoptotic process;mitochondrion,40.10.02;70.16,apoptosis (type I programmed cell death);mitochondrion,,Bak1;Tp53
tBID-BCL2 complex,12043;12122,GO:0043067;GO:0005741,regulation of programmed cell death;mitochondrial outer membrane,40.10.02.04;70.16.01,regulation of apoptosis;mitochondrial outer membrane,,Bcl2;Bid
BIM-BCL2 complex,12125;12043,GO:0043067;GO:0005741,regulation of programmed cell death;mitochondrial outer membrane,40.10.02.04;70.16.01,regulation of apoptosis;mitochondrial outer membrane,,Bcl2l11;Bcl2
BIM-BCL2xL complex,12125;12048,GO:0043067;GO:0005741,regulation of programmed cell death;mitochondrial outer membrane,40.10.02.04;70.16.01,regulation of apoptosis;mitochondrial outer membrane,,Bcl2l11;Bcl2l1
MCL1-BAK1 complex,4170;578,GO:0043067;GO:0005741,regulation of programmed cell death;mitochondrial outer membrane,40.10.02.04;70.16.01,regulation of apoptosis;mitochondrial outer membrane,,MCL1;BAK1
PPD complex,5071;11315;65018,GO:0043161;GO:0006511;GO:0005737,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cytoplasm,14.13.01.01;70.03,proteasomal degradation (ubiquitin/proteasomal pathway);cytoplasm,"PPD complex plays an important role in degradation of un- or misfolded Parkin substrates, like Parkin itself or Synphilin-1. Usually the PPD complex is found in the cytoplasm, but a small ammount was also detected in the mitochondrial fraction.",PRKN;PARK7;PINK1
AIF-CYPA-DNA complex,9131;5478,GO:0006915;GO:0005634,apoptotic process;nucleus,40.10.02;70.10,apoptosis (type I programmed cell death);nucleus,"After apoptotic stimulus, AIF translocates to the nucleus, interacts with DNA and tethers CypA to chromatin.",AIFM1;PPIA
HSP90-CDC37-LRRK2 complex,3326;11140;120892,GO:0035556,intracellular signal transduction,2022-01-30 00:00:00,cellular signalling,HSP90 and CDC37 do not serve as substrate for LRRK2 kinase but associates as chaperones participating in maintenance of proper folding of the kinase.,HSP90AB1;CDC37;LRRK2
Ksr1-CK2 complex,13000;13001;12995;16706,GO:0006468;GO:0000165;GO:0005886,protein phosphorylation;MAPK cascade;plasma membrane,14.07.03;30.01.05.01.03;70.02,"modification by phosphorylation, dephosphorylation, autophosphorylation;MAPKKK cascade;eukaryotic plasma membrane / membrane attached",The authors showed that binding of the CK2 subunits to Ksr1 was found to be constitutive and did not change with growth-factor treatment.The results identify CK2 as a novel component of the KSR1 scaffolding complex that facilitates ERK cascade signaling by functioning as a Raf family N-Region kinase.,Csnk2a2;Csnk2b;Csnk2a1;Ksr1
"Ksr1-CK2-MEK-14-3-3 complex, PDGF treated",13000;26395;22631;13001;12995;16706,GO:0006468;GO:0000165;GO:0005886,protein phosphorylation;MAPK cascade;plasma membrane,14.07.03;30.01.05.01.03;70.02,"modification by phosphorylation, dephosphorylation, autophosphorylation;MAPKKK cascade;eukaryotic plasma membrane / membrane attached","The authors showed that mutation of lysine 360 and arginine 363 to either alanine residues (KR/AA) or to glutamine and glycine residues KR/QG (as found in the C-Raf C1 domain) abolished CK2 binding but had no effect on the association of MEK and 14-3-3, proteins that bind to sites outside the C1 domain.",Csnk2a2;Map2k1;Ywhaz;Csnk2b;Csnk2a1;Ksr1
"Gamma-secretase complex (APH1A, PSENEN, PSEN1, NCSTN, TMP21)",10972;5663;23385;51107;55851,,,,,,TMED10;PSEN1;NCSTN;APH1A;PSENEN
LRRK2-CHIP-HSP90 complex,3326;120892;10273,GO:0043161;GO:0006511,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process,14.13.01.01,proteasomal degradation (ubiquitin/proteasomal pathway),,HSP90AB1;LRRK2;STUB1
Ubiquitin-conjugating enzyme E2 (UBC13-UEV1A),7334;7335,GO:0016567;GO:0070534;GO:0007249,protein ubiquitination;protein K63-linked ubiquitination;I-kappaB kinase/NF-kappaB signaling,14.07.05;30.01.05.01.04,"modification by ubiquitination, deubiquitination;NIK-I-kappaB/NF-kappaB cascade",This complex supports the activation of the I-kappa-B kinase complex by TRAF6. It catalyzes the formation of a Lys 63 (K63)-linked polyubiquitin chain.,UBE2N;UBE2V1
PARK2-EPS15-EGFR complex,13858;13649;50873,GO:0007034;GO:0007173,vacuolar transport;epidermal growth factor receptor signaling pathway,20.09.13;30.05.01.12.01,vacuolar/lysosomal transport;EGF-receptor signalling pathway,,Eps15;Egfr;Prkn
STUB1-HSPA8-MAPT-UBE2D2 complex,4137;3312;7322;10273,GO:0016567;GO:0043161;GO:0006511,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process,14.07.05;14.13.01.01,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)","CHIP-HSC70 complex ubiquitinates phosphorylated Tau and enhances cell survival by decreasing the toxicity of hyperphosphorylated tau, a important factor in the neurofibrillary pathology of Alzheimer disease, via proteasomal degradation. It is shown that Alzheimer tau binds to Hsc70, and its phosphorylation is a recognition requirement for the addition of ubiquitin (Ub) by the E3 Ub ligase CHIP (carboxyl terminus of the Hsc70-interacting protein) and the E2 conjugating enzyme UbcH5B.",MAPT;HSPA8;UBE2D2;STUB1
BAG3-HSC70-HSPB8-CHIP complex,9531;3312;26353;10273,GO:0050821;GO:0006457;GO:0006950,protein stabilization;protein folding;response to stress,14.01;32.01,protein folding and stabilization;stress response,"The BAG3-HSC70-HSPB8-CHIP complex facilitates the degradation of damaged components, such as filamin, through chaperone-assisted selective autophagy (CASA).",BAG3;HSPA8;HSPB8;STUB1
c-Abl-cortactin-nmMLCK complex,25;2017;4638,GO:0007010;GO:0061028,cytoskeleton organization;establishment of endothelial barrier,42.04,cytoskeleton/structural proteins,"The association of c-Abl, nmMLCK (nonmuscle), and cortactin is increased in ECs (endothelial cells) during S1P (sphingosine 1-phosphate) ,induced barrier enhancement.",ABL1;CTTN;MYLK
ACR-HSPA2-PDIA6 complex,1636;3306;10130,GO:0060046,regulation of acrosome reaction,,,,ACE;HSPA2;PDIA6
BAG6-HSPA2 complex,7917;3306,GO:0007283;GO:1903332,spermatogenesis;regulation of protein folding,,,,BAG6;HSPA2
ACAP1-CLTC-SLC2A4 complex,6517;1213;9744,GO:0032456,endocytic recycling,,,The results suggested that ACAP1 acted like AP adaptors in bridging an interaction between cargo tails and clathrin triskelion.,SLC2A4;CLTC;ACAP1
CART complex,9146;81;10612;4645,GO:0004998;GO:0001881;GO:0032456,transferrin receptor activity;receptor recycling;endocytic recycling,,,"The CART complex is necessary for efficient recycling of the transferrin (Tf) receptor to the plasma membrane, but not movement to lysosomes and degradation of the EGFR.The CART complex, composed of hrs, actinin-4, BERP, and myosin V, seemed to require BERP to link myosin V to hrs-actinin-4.",HGS;ACTN4;TRIM3;MYO5B
alphaB-crystallin-Nav1.5 complex,1410;6331,GO:1905150;GO:0031396,regulation of voltage-gated sodium channel activity;regulation of protein ubiquitination,,,,CRYAB;SCN5A
CCT-gelsolin complex,21454;227753,GO:0048870,cell motility,,,,Tcp1;Gsn
STIM1-TRPV4 complex,6786;59341,GO:0051924,regulation of calcium ion transport,,,,STIM1;TRPV4
DGAT2-MGAT2 complex,4247;84649,GO:0019432,triglyceride biosynthetic process,,,,MGAT2;DGAT2
BAG1-HSC70 complex,3312;573,GO:0006457,protein folding,2022-01-14 00:00:00,protein folding and stabilization,,HSPA8;BAG1
BAG1-HSP70 complex,3303;573,GO:0006457,protein folding,2022-01-14 00:00:00,protein folding and stabilization,,HSPA1A;BAG1
Hook1-Vps16 complex,64601;51361,GO:0016197,endosomal transport,,,FTS and Hook proteins associate with class B and class C components of the HOPS complex.,VPS16;HOOK1
Hook1-Vps18 complex,57617;51361,GO:0016197,endosomal transport,,,FTS and Hook proteins associate with class B and class C components of the HOPS complex.,VPS18;HOOK1
Hook1-Vps39 complex,23339;51361,GO:0016197,endosomal transport,,,FTS and Hook proteins associate with class B and class C components of the HOPS complex.,VPS39;HOOK1
Hook2-Vps16 complex,29911;64601,GO:0016197,endosomal transport,,,FTS and Hook proteins associate with class B and class C components of the HOPS complex.,HOOK2;VPS16
Hook3-Vps16 complex,84376;64601,GO:0016197,endosomal transport,,,FTS and Hook proteins associate with class B and class C components of the HOPS complex.,HOOK3;VPS16
FTS-Vps16 complex,64601;64400,GO:0016197,endosomal transport,,,FTS and Hook proteins associate with class B and class C components of the HOPS complex.,VPS16;AKTIP
FTS-Vps18 complex,64400;57617,GO:0016197,endosomal transport,,,FTS and Hook proteins associate with class B and class C components of the HOPS complex.,AKTIP;VPS18
SELK multiprotein complex,6184;6185;821;1650;3703;7415;55829;79139;51009;58515,GO:0030968;GO:0036503,endoplasmic reticulum unfolded protein response;ERAD pathway,32.01.07,unfolded protein response (e.g. ER quality control),,RPN1;RPN2;CANX;DDOST;STT3A;VCP;SELENOS;DERL1;DERL2;SELENOK
TRIAL-DR5 complex,8795;8743,GO:0006915,apoptotic process,40.10.02,apoptosis (type I programmed cell death),,TNFRSF10B;TNFSF10
ACK1 signaling complex,1398;9564;998;10188,GO:0023052,signaling,2022-01-30 00:00:00,cellular signalling,"CDC42, ACK1, p130Cas, and CRK form a collagen-regulated signaling complex. The interaction of Ack1 and p130Cas relies on SH3 and Proline-rich domains. ACK1 not only associated with p130Casbut also induced its phosphorylation.",CRK;BCAR1;CDC42;TNK2
Exocyst complex,10640;11336;149371;54536;60412;55770;55763;23265,GO:0099022;GO:0006887;GO:0060271,vesicle tethering;exocytosis;cilium assembly,20.09.16.09.03,exocytosis,"The exocyst complex regulates tethering of transferrin-receptor-containing recycling vesicles to the plasma membrane, downstream of the Rab11 small GTPase.",EXOC5;EXOC3;EXOC8;EXOC6;EXOC4;EXOC2;EXOC1;EXOC7
Exocyst EXOC5-EXOC6 subcomplex,10640;54536,GO:0006887,exocytosis,20.09.16.09.03,exocytosis,,EXOC5;EXOC6
Exocyst EXOC5-EXOC6-EXOC7 subcomplex,10640;54536;23265,GO:0006887,exocytosis,20.09.16.09.03,exocytosis,,EXOC5;EXOC6;EXOC7
STIP-USP7-p53 complex,7157;7874;None,GO:0050821;GO:0005654,protein stabilization;nucleoplasm,2022-01-14 00:00:00,protein folding and stabilization,,TP53;USP7;TFIP11
p38gamma-Hsp90-K-Ras complex,3845;3326;6300,GO:0001558,regulation of cell growth,,,,KRAS;HSP90AB1;MAPK12
Stargazin-AP-2-AP-3a complex,8943;160;10369,GO:2000311,regulation of AMPA receptor activity,,,,AP3D1;AP2A1;CACNG2
Stargazin-Glu1-mu3 complex,2890;10947;10369,GO:2000311,regulation of AMPA receptor activity,,,,GRIA1;AP3M2;CACNG2
Stargazin-Glu2A-mu3 complex,2891;10947;10369,GO:2000311,regulation of AMPA receptor activity,,,,GRIA2;AP3M2;CACNG2
DOCK8-WIP-WASp complex,7456;7454;81704,GO:0015629;GO:0042608;GO:0000910;GO:0001771;GO:0072678,actin cytoskeleton;T cell receptor binding;cytokinesis;immunological synapse formation;T cell migration,70.04.03;10.03.03,actin cytoskeleton;cytokinesis (cell division) /septum formation and hydrolysis,"DOCK8-WIP-WASp complex links T cell receptors to the actin cytoskeleton. The WASp-interacting protein (WIP) bridges DOCK8 to WASp and actin in T cells. The guanine nucleotide exchange factor activity of DOCK8 is essential for the integrity of the subcortical actin cytoskeleton as well as for TCR-driven WASp activation, F-actin assembly, immune synapse formation, actin foci formation, mechanotransduction, T cell transendothelial migration, and homing to lymph nodes, all of which also depend on WASp. The results indicate that DOCK8 and WASp are in the same signaling pathway that links TCRs to the actin cytoskeleton in TCR-driven actin assembly. DOCK8 binds to and colocalizes constitutively with WIP and WASp in T cells. WIP bridges DOCK8 to actin. DOCK8 GEF activity mediates TCR-driven WASp activation. DOCK8 is essential for TCR-driven actin foci formation and mechanotransduction.",WIPF1;WAS;DOCK8
Dock8-Was -Wipf1 complex,22376;76088;215280,GO:0015629;GO:0042608;GO:0000910;GO:0001771;GO:0072678,actin cytoskeleton;T cell receptor binding;cytokinesis;immunological synapse formation;T cell migration,70.04.03;10.03.03,actin cytoskeleton;cytokinesis (cell division) /septum formation and hydrolysis,DOCK8-WIP-WASp complex links T cell receptors to the actin cytoskeleton.,Was;Dock8;Wipf1
GATOR2 complex,6396;79726;81929;84219;54468,GO:1903432,regulation of TORC1 signaling,,,Inhibition of GATOR2 subunits suppresses mTORC1 signaling. GATOR2 is an inhibitor of an inhibitor (GATOR1) of the amino acid\u2013sensing branch of the TORC1 pathway.,SEC13;WDR59;SEH1L;WDR24;MIOS
GATOR complex,9681;6396;8131;79726;10641;81929;84219;54468,GO:1903432;GO:1903832,regulation of TORC1 signaling;regulation of cellular response to amino acid starvation,,,GATOR as a complex that is composed of the two subcomplexes GATOR1 complexand GATOR2 complex. GATOR as a complex that interacts with and negatively regulates the Rag guanosine triphosphatases (GTPases) which promote mTORC1 translocation to the lysosomal surface.,DEPDC5;SEC13;NPRL3;WDR59;NPRL2;SEH1L;WDR24;MIOS
Rab11a-FIP3-DLIC-1 complex,8766;51143;8517,GO:0016197,endosomal transport,,,,RAB11A;DYNC1LI1;IKBKG
ATG13-RB1CC1-ULK1 complex,9776;8408;9821,GO:1905037;GO:0006914,autophagosome organization;autophagy,,,,ATG13;ULK1;RB1CC1
ATG101-ATG13-RB1CC1-ULK1 complex,9776;8408;9821;60673,GO:0006914,autophagy,,,,ATG13;ULK1;RB1CC1;ATG101
"Ubiquitin E3 ligase (CUL3, KLHL3, WNK1)",8452;65125;26249,GO:0006511;GO:0031461,ubiquitin-dependent protein catabolic process;cullin-RING ubiquitin ligase complex,14.13.01.01,proteasomal degradation (ubiquitin/proteasomal pathway),"CUL3 assembles with BTB proteins (e.g. KLHL3) to form Cullin-RING E3 ubiquitin ligase complexes. The CUL3-KLHL3 E3 ligase complex regulates blood pressure via its ability to interact with and ubiquitylate WNK isoforms. The recombinant wild-type CUL3-KLHL3 E3 ligase complex, but not a disease-causing CUL3-KLHL3[R528H] mutant complex, ubiquitylated WNK1 in vitro. siRNA (small interfering RNA)-mediated knockdown of CUL3 increased WNK1 protein levels and kinase activity in HeLa cells. The KLHL3 interaction site in WNK1 could be mapped to a non-catalytic region (residues 479-667).",CUL3;WNK1;KLHL3
BBS-chaperonin complex,6950;22948;7203;10694;10575;10576;166379;55212;79738;8195,GO:0005929;GO:0051131;GO:0042073,cilium;chaperone-mediated protein complex assembly;intraciliary transport,,,The assembly of the BBSome requires the activity of the BBS-chaperonin complex (PMID: 30287585).,TCP1;CCT5;CCT3;CCT8;CCT4;CCT2;BBS12;BBS7;BBS10;MKKS
Shc-ERalpha-IGF-1R complex,2099;3480;6464,GO:0043405,regulation of MAP kinase activity,,,,ESR1;IGF1R;SHC1
Ap1g1-Ap1s1-Rabep1 complex,54189;11765;11769,GO:0055038,recycling endosome membrane,,,,Rabep1;Ap1g1;Ap1s1
MYO5B-RAB11A-RAB11FIP2 complex,8766;22841;4645,GO:0016192,vesicle-mediated transport,2007-09-20 00:00:00,"vesicular transport (Golgi network, etc.)",Rab11 family interacting protein 2 associates with Myosin Vb and regulates plasma membrane recycling.,RAB11A;RAB11FIP2;MYO5B
"Ubiquitin E3 ligase (CUL3, KLHL3, WNK4)",8452;65266;26249,,,,,"CUL3 assembles with BTB proteins (e.g. KLHL3) to form Cullin-RING E3 ubiquitin ligase complexes. The CUL3-KLHL3 E3 ligase complex regulates blood pressure via its ability to interact with and ubiquitylate WNK isoforms. Immunoprecipitation studies confirmed that the wild-type WNK4 robustly bound to KLHL3, but interaction with either disease-causing WNK4 mutant tested was strikingly impaired.",CUL3;WNK4;KLHL3
"Ubiquitin E3 ligase (CUL3, KLHL3)",8452;26249,GO:0016874;GO:0016567;GO:0050801;GO:0000151;GO:0006511;GO:0031461,ligase activity;protein ubiquitination;ion homeostasis;ubiquitin ligase complex;ubiquitin-dependent protein catabolic process;cullin-RING ubiquitin ligase complex,14.07.05;34.01;14.13.01.01,"modification by ubiquitination, deubiquitination;homeostasis;proteasomal degradation (ubiquitin/proteasomal pathway)",CUL3 assembles with BTB proteins (e.g. KLHL3) to form Cullin-RING E3 ubiquitin ligase complexes. The CUL3-KLHL3 E3 ligase complex regulates blood pressure via its ability to interact with and ubiquitylate WNK isoforms.,CUL3;KLHL3
HEXA-HEXB complex,3073;3074,GO:0004563;GO:0005975;GO:0006687;GO:0030203;GO:0004553,"beta-N-acetylhexosaminidase activity;carbohydrate metabolic process;glycosphingolipid metabolic process;glycosaminoglycan metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds",2022-05-01 00:00:00,C-compound and carbohydrate metabolism,,HEXA;HEXB
HEXB homodimer complex,3074,GO:0004563;GO:0005975;GO:0006687;GO:0030203;GO:0004553,"beta-N-acetylhexosaminidase activity;carbohydrate metabolic process;glycosphingolipid metabolic process;glycosaminoglycan metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds",2022-05-01 00:00:00,C-compound and carbohydrate metabolism,,HEXB
NEDD8-NUB1-NPLOC4-UFD1L complex,4738;55666;7353;51667,GO:2000434,regulation of protein neddylation,,,,NEDD8;NPLOC4;UFD1;NUB1
G alpha-13-Hax-1-cortactin-Rac complex,10456;207;2017;10672,GO:0016477,cell migration,34.05.01,cell migration,"By tethering G alpha-\u000113 to cortactin in a complex containing Rac, Hax-1 provides a signaling nexus that facilitates the dynamic and uninterrupted transmission of signals from G alpha-\u000113 to cortactin through Rac to promote cell protrusion and migration.",HAX1;AKT1;CTTN;GNA13
